question_id,part,part_label,theme,construct,question_en,question_ar,scale,indicator_ids,segment
Q6.07,Part 6,Graduates & Work,AI Skills & Confidence,Asked about AI in interview,Have you ever been asked about AI knowledge in a job interview or test?,هل سُئلت يوماً عن معرفة الذكاء الاصطناعي في مقابلة عمل؟,More than once / Once / No / Not yet,,Job Seekers
Q6.09,Part 6,Graduates & Work,AI Skills & Confidence,Confidence competing with AI skills,How confident are you in competing in the job market with your current AI skills?,ما مدى ثقتك في المنافسة في سوق العمل بمهاراتك الحالية في الذكاء الاصطناعي؟,Very / Somewhat / Neutral / Not very / Not at all,CONFIDENCE_AI,Job Seekers
Q7.01,Part 7,Skills & Training,AI Skills & Confidence,Confidence using AI tools,How confident are you in your ability to use AI tools effectively?,ما مدى ثقتك في قدرتك على استخدام أدوات الذكاء الاصطناعي بفعالية؟,Very / Somewhat / Neutral / Not very / Not at all,CONFIDENCE_AI,General Population
Q7.02,Part 7,Skills & Training,Non-use & Barriers,Reasons for lack of confidence,What are the reasons for your lack of confidence in using AI tools? (multi-select),ما أسباب عدم ثقتك في استخدام أدوات الذكاء الاصطناعي؟,No knowledge / No training / Complex / Access / Fear of mistakes / No support,,General Population
Q7.03,Part 7,Skills & Training,AI Skills & Confidence,Formal AI training received,"Have you received formal training in Artificial Intelligence (course, workshop, program)?",هل تلقيت تدريباً رسمياً في مجال الذكاء الاصطناعي؟,Yes / No,,General Population
Q7.04,Part 7,Skills & Training,AI Skills & Confidence,Where received AI training,Where did you receive your AI training? (multi-select),أين تلقيت تدريبك على الذكاء الاصطناعي؟,School / Work / Online / Government / Private / Conferences,,General Population
Q7.06,Part 7,Skills & Training,AI Skills & Confidence,Quality of AI training,How would you rate the quality of the training you received?,كيف تقيّم جودة التدريب الذي تلقيته؟,Excellent / Good / Average / Poor / Very poor,,General Population
Q7.07,Part 7,Skills & Training,Non-use & Barriers,Reasons for not receiving AI training,What are the reasons for not receiving AI training? (multi-select),ما أسباب عدم تلقي تدريب على الذكاء الاصطناعي؟,Unaware / Time / Not interested / Not offered / Cost / Access / Not required,,General Population
Q7.08,Part 7,Skills & Training,AI Skills & Confidence,Would like AI training,Would you like to receive AI training in the future?,هل ترغب في تلقي تدريب على الذكاء الاصطناعي مستقبلاً؟,Yes / Maybe / No,,General Population
Q7.09,Part 7,Skills & Training,AI Skills & Confidence,Skills to develop,What AI-related skills would you like to develop or improve? (multi-select),ما المهارات المتعلقة بالذكاء الاصطناعي التي ترغب في تطويرها؟,Basics / Programming / Data / GenAI tools / Ethics / Creative / Problem-solving,,General Population
Q7.12,Part 7,Skills & Training,AI Skills & Confidence,Willing to pay for AI training,Are you willing to pay for quality AI training?,هل أنت مستعد للدفع مقابل تدريب عالي الجودة على الذكاء الاصطناعي؟,Any amount / Reasonable / Maybe / No / Not sure,,General Population
Q8.01,Part 8,Perceptions & Concerns,Trust & Perception,Feeling about increasing AI use,"In general, how do you feel about the increasing use of AI in daily life?",بشكل عام، ما شعورك تجاه الاستخدام المتزايد للذكاء الاصطناعي في الحياة اليومية؟,Very positive / Positive / Neutral / Negative / Very negative,PERCEIVE_BENEFIT|BENEFITS_VS_RISKS,General Population
Q8.02,Part 8,Perceptions & Concerns,Trust & Perception,Perceived benefits of AI,What are the main benefits you think AI brings to society? (multi-select),ما الفوائد الرئيسية التي تعتقد أن الذكاء الاصطناعي يجلبها للمجتمع؟,Efficiency / Jobs / Learning / Healthcare / Global / Info access / None,BENEFIT_LEARNING|BENEFIT_JOB,BENEFIT_LEARNING|BENEFIT_JOB|BENEFIT_INFO|BENEFIT_HEALTHCARE
Q8.03,Part 8,Perceptions & Concerns,Trust & Perception,Main concerns about AI,What are your main concerns about AI? (multi-select),ما مخاوفك الرئيسية بشأن الذكاء الاصطناعي؟,Job loss / Privacy / Bias / Transparency / Over-reliance / Misinformation / None,CONCERN_JOB|CONCERN_PRIVACY|CONCERN_FAKE,CONCERN_JOB|CONCERN_PRIVACY|CONCERN_FAKE|CONCERN_CREATIVITY|CONCERN_CYBER
Q8.04,Part 8,Perceptions & Concerns,Trust & Perception,Trust in AI decisions,To what extent do you trust AI systems to make decisions affecting your life?,إلى أي مدى تثق في أنظمة الذكاء الاصطناعي لاتخاذ قرارات تؤثر على حياتك؟,Completely / Somewhat / Neutral / Somewhat distrust / Not at all,TRUST_TASKS|TRUST_NONE,General Population
Q8.05,Part 8,Perceptions & Concerns,Trust & Perception,AI should be regulated,Do you think AI technologies should be subject to clear government regulations and laws?,هل تعتقد أن تقنيات الذكاء الاصطناعي يجب أن تخضع لتنظيمات وقوانين حكومية واضحة؟,Definitely / Some / No / Not sure,TRUST_REGULATION,General Population
Q8.06,Part 8,Perceptions & Concerns,Trust & Perception,Who is responsible for ethical AI,Who is primarily responsible for ensuring ethical and responsible use of AI?,من المسؤول الأساسي عن ضمان الاستخدام الأخلاقي للذكاء الاصطناعي؟,Government / Companies / Institutions / Users / All,,General Population
Q8.07,Part 8,Perceptions & Concerns,Trust & Perception,Most important AI principle,What is the most important principle for responsible AI use?,ما أهم مبدأ لضمان الاستخدام المسؤول للذكاء الاصطناعي؟,Transparency / Fairness / Accountability / Privacy / Safety / Human oversight / All,,ETHICS_TRANSPARENCY
Q9.01,Part 9,Future Outlook,AI Skills & Confidence,Interest in advanced technology,"How interested are you in working in advanced technology (IT, Robotics, Engineering, Biotech)?",ما مدى اهتمامك بالعمل في مجال التقنية المتقدمة؟,Very / Interested / Neutral / Not very / Not at all,,General Population
Q9.02,Part 9,Future Outlook,AI Skills & Confidence,Interest in AI specifically,"How interested are you in working specifically in AI (AI Engineering, Data Science, ML)?",ما مدى اهتمامك بالعمل تحديداً في مجال الذكاء الاصطناعي؟,Very / Interested / Neutral / Not very / Not at all,,General Population
Q9.05,Part 9,Future Outlook,AI Skills & Confidence,AI skills essential for career success,Do you believe AI skills will be essential for future career success?,هل تعتقد أن مهارات الذكاء الاصطناعي ستكون أساسية للنجاح المهني المستقبلي؟,Strongly agree / Agree / Neutral / Disagree / Strongly disagree,AI_SKILLS_ESSENTIAL,General Population
Q9.06,Part 9,Future Outlook,Trust & Perception,Future of AI in the UAE,"In general, how do you see the future of AI in the United Arab Emirates?",بشكل عام، كيف ترى مستقبل الذكاء الاصطناعي في دولة الإمارات؟,Very bright / Somewhat / Neutral / Less / No clear future / No opinion,,General Population
